Место	Страна	Игрок	Сумма	Без минусов	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	UKR	Арсений Ламеко	720		3	-6	6	3	-1	10	6	5	4	9	4	8	11	8	2
2	RUS	Егор Мамонтов	700		3	2	12	6	7	1	-1	6	-3	9	3	8	8	6	3
3	RUS	Денис Галиакберов	700		3	1	1	1	6	8	13	4	5	12	-1	9	7	1	0
4	RUS	Рузель Халиуллин	680		3	3	7	2	3	1	7	4	5	6	4	7	3	6	7
5	BLR	Никита Шевела	670		3	3	9	-4	10		5	5	2	10	1	8	10	1	4
6	RUS	Денис Берендяев	620		-2	2	4	3	10	0	6	3	4	10	7	12	2	-1	2
7	RUS	Игорь Надеждин	600		6	1		1	1	6	11	3	5	5	1	3	11	3	3
8	UKR	Никита Роенко	580		3	3	5	1	6	3	5	1	-5	4	2	8	9	12	1
9	RUS	Дмитрий Макушев	570		3	3	12	1	6	7	-1	3	2	6	3	7	1	1	3
10	RUS	Никита Воробьёв	550		0	1	1	3	3	10	4	11	0	12	-5	3	1	10	1
11	RUS	Михаил Папков	550		7	1	1	3	7	-4	3	8	3	1	1	11	4	3	6
12	RUS	Вадим Тух	530		3	6	2	1	6	1	1	5	-2	1	7	8	1	10	3
13	RUS	Георгий Матюшин	530		3	1	1	1	1	0	8	-5	5	2	6	6	10	11	3
14	RUS	Мария Подрядчикова	520		3	7		5	4	3	1	6	7	1	3	3	7	2	0
15	RUS	Михаил Попов	520		3	4	7	2	3	4	0	3	5	5	6	-1	3	8	0
16	BLR	Станислав Адаскевич	520		-1	10	3	-2	6	0	8	4	2	5	3	7	3	3	1
17	RUS	Владимир Сергеев	500		6	4	3	1	6	3	8	4	-5	2	3	1	9	3	2
18	RUS	Дмитрий Хмыров	480		3	4	0	1	-1	1	9	1	5	6	3	3	5	7	1
19	BLR	Александр Морозов	480		3	6	5	-2	3	1	2	6	2	5	3	3	2	6	3
20	BLR	Тимофей Прокопенко	480		-2	6	0	-2	0	0	8	5	3	5	1	8	7	6	3
21	RUS	Глеб Романенко	470		1	2	0	1	6	-2	5	8	5	4	0	1	7	6	3
22	RUS	Владислав Тарасов	460		3	6	0	-2	-2	1	4	8	0	11	2	3	10	3	-1
23	RUS	Иван Петренко	460		-1	1	1	-1	3	3	8	4	-1	0	3	8	4	11	3
24	RUS	Екатерина Новикова	460		7	3	0	1	3	3	-2	5	7	3	-2	8	3	4	3
25	RUS	Илья Матяшин	460		1	1	1	2	3	4	3	7	0	5	3	3	4	6	3
26	BLR	Алексей Бабак	460		1	1	12		3	1	5	7	-7	3	6	3	4	6	1
27	RUS	Александр Карчевский	460		3	3	-1	-5	3	-2	5	-1	5	8	4	8	11	4	1
28	BLR	Пётр Игнатенко	450		3	1	7	-4	2	3	8	3	5		2	3	9	1	2
29	RUS	Дмитрий Аку́лов	440		2	7	1	3	6	3	-3	3	5	4	3	3	6	1	0
30	RUS	Семён Попов	430		1	1	0	1	3	0	6	8	-2	1	-4	12	9	6	1
31	RUS	Ринат Сибаев	430		6	3	7	2	3	-2	1	1	2	6	0	4	6	4	0
32	BLR	Владимир Осипчук	430		-1	2	3	1		-4	8	1	2	8	2	6	6	6	3
33	RUS	Алексей Скуратов	430		3	3	8	3	3			2	7	-1	-1	6	5	4	1
34	BLR	Игорь Курс	420		3	3	12	-2	0	1	4	3	2	0	0	8	6	1	1
35	RUS	Глеб Николаев	420		3	3	1	1	3	1	5	7	-6	7	3	6	4	1	3
36	UKR	Валентин Копочель	420		1	3	12	1	-2	4	0	4	2	0	2	8	5	1	1
37	LAT	Олег Скрипник	420		1	3		1	-2		8	4	2	5	4	6	2	7	1
38	BLR	Виктор Реут	400		6	3	1	0	-1	6	6	7	5	1	0	-3	2	4	3
39	RUS	Руслан Ахунов	400		4	-1	1	0	6	-3	6	2	3	1	1	7	4	6	3
