	Страна	Игрок	Сумма	Без минусов	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	RUS	Денис Галиакберов	620		9	5	-2	1	4	10	-2	3	2	6	10	11	2	1	2
2	UKR	Михаил Лях	570		3	5	7	1	1	7	5	2	1	4	-1	6	3	7	6
3	RUS	Александр Карчевский	490		5	5	6	-3	5	7	-2		3	-4	1	9	7	8	2
4	RUS	Никита Шевела	490		4	7	4	1	3	3	2	-2	5	2	4	3	2	5	6
5	RUS	Вадим Тух	480		4	6	6	-4	6	4	2	0	6	2	1	6	0	5	4
6	RUS	Евгений Артёмов	470		15	5	3	2	1	3	5	-3	-2	-3	1		4	7	9
7	RUS	Иван Петренко	460		6	9	3	1	3	6	-1	-1	3	3	1	1	4	5	3
8	RUS	Елизавета Генералова	460		8	4	1	1	1	9	2	2	2	3		10		1	2
9	BLR	Дарья Кузнецова	440		3	5	3	3	1	7		3	-2		1	5	4	5	6
10	RUS	Кирилл Карташов	430		0	8	1	5	13	-2	1	0	4	-1	4	6	-2	3	3
11	RUS	Елизавета Короткова	410		3	5	1	1	0	7	-1	0	1	1	4	9	0	4	6
12	RUS	Руслан Алиев	410		-1	7	6	1	4	7	-4	-1	3	4	3	9	2	0	1
13	BLR	Виктор Реут	400		8	6	3	5	4	3	-2	2	2	-2	-3	1	3	4	6
14	BLR	Пётр Игнатенко	400		5	10	4	1	1	10	-2	-1	2	3	0	1	0	0	6
15	RUS	Илья Матяшин	380		5	8	1	2	4	6	3		5	-3	1	2		3	1
16	RUS	Даниил Федкевич	380		1	3	1	8	11	3	-1	-1	1	-3		-1	4	4	8
17	BLR	Тимофей Прокопенко	380		4	8	-1	1	3	6	-1	2	2	-2	1	3	2	4	6
18	RUS	Иннокентий Ху́монен	370		-2	1	3	3	1	9	-2	2	2	1	4	4	4	4	3
19	RUS	Елизавета Ежергина	370		6	6	1	4	6	7	0	0	2	0	3	1	0	1	0
20	UKR	Никита Роенко	370		1	5	3	1	4	2	2	0	3	2	0	10	0	1	3
21	RUS	Денис Берендяев	360		8	1	6	3	-2	6	-1	1	3	-2	1	5	0	4	3
22	RUS	Михаил Папков	360		11	4	6	-3	1	7	-1		-3	-1	1	11		1	2
23	RUS	Алексей Овчинников	360		4	5	4	-1	3	8			1	2	-1	6	4		1
24	UZB	Георгий Шванов	360		-1	5	6	1		8		-3		2		3	4	10	1
25	RUS	Екатерина Самусенко	340		6	5	1	1		3	2	1	5	-2	3	5		3	1
26	RUS	Елизавета Болотова	330		2	5	1	1	1	7			3			5	4	1	3
27	RUS	Андрей Вершинин	330		3	7		1	1	5			3	-1		1		10	3
28	RUS	Евгения Болдырева	330		3	8	1	1			2			2	1	6	4	1	4
29	BLR	Антон Шевченя	320		7	-3	4			6	5	-2		-1	1	8		4	3
30	BLR	Никита Кучин	320		5	8	2	4	1	8	1	2	3	-5	1	-1			3
31	RUS	Анастасия Мазурова	310		5	3	3	-1	1	6			1	2	2	1	4	4	
32	RUS	Георгий Воробьёв	310		1	3	3	1	1	12	3	0	1	1	1	3	0	0	1
33	RUS	Ирина Абдрашитова	310		-2	5		-1	1	8	5	-2	5		4	1		6	1
34	RUS	Иван Сальковский	310		6	8		4	4	5	-1	-5	-1	-1		1	4	7	
35	RUS	Владислав Тарасов	300		4	3	-1	4	1	5	-1	-2	1	3	3	3		4	3
36	RUS	Юлия Снигирёва	300		4	5	1	1	1	-2			3	2	1	7		4	3
37	RUS	Глеб Романенко	300		1	10	1	-4		7	3	-2	2	-1		4		1	8
38	RUS	Станислав Утикеев	290		5	5	3				2		3	3		6		1	1
39	UKR	Елена Красникова	290		2	8	1	1	1	4	2	-3	3		3		4	1	2
40	RUS	Григорий Зырянов	290		1	7	1	1	1	5	-1		3	-1	4	7			1
41	BLR	Владимир Осипчук	290		1	-5	1	2	6	7	-4	2	6	1	1	1	2	4	4
42	RUS	Никита Воробьёв	280		11	-5	1	4	-2	11	-2	2	1	1	1	1	2	2	0
43	RUS	Эдгар Серобян	280			5	-1		1	6		2	1	-1		8		4	3
44	BLR	Вера Монина	280		3	5	1	1	1	8	0	1	3	0	0	-3	0	3	5
45	RUS	Карина Стародубцева	270		6	4	1	-3	-2	7	1		1	-1	5	-1		6	3
46	UKR	Антон Моисеев	270		3	6	4	1	3	6	5	-2	1	-1	-2	1		2	
47	RUS	Артём Никифоров	260		3	4	3	3	0	6	2	-2	-2	1	1	4	0	0	3
48	UKR	Владислав Мацкевич	260		-2	6	3	0	1	2	1	-1	3	2	1	4	0	4	2
49	BLR	Алексей Буйко	260		-2	5	4	1	-2	3	4		1	-2	2		4	3	5
50	BLR	Альберт Агалян	250		1	5	1	1	4	3		-1		2	-1	3		1	6
51	RUS	Владимир Сергеев	250		5	7	1	-1	1	1	-1	-3	6			3			6
52	RUS	Сергей Дуликов	250		11	5	4		1	7	1	-6					3	-2	1
53	UKR	Олег Меженский	250		15	3	3	1	1	0	5	-5	-5	-3	3	8	-8	8	-1
54	BLR	Андрей Акимов	240		0	8	0	0	3	4	2	-2	0	0	0	4	4	0	1
55	RUS	Денис Мишин	240		10	5	1	1	2	-1	2		-4			5		1	2
56	BLR	Иннокентий Петровский	240		9	5	1	2	1	8	-4	0	-3	1	0	1	2	0	1
57	BLR	Дарья Веретило	230		2	8	-2	1	1	1	2	-1	-1		1	6		1	4
58	RUS	Дмитрий Акулов	230		8	5	4	-1	1	4	2	1	-4	-1		2			2
59	UKR	Никита Денисенков	230		2	4	-1	1	3	2	2		3	2	1	4		2	-2
60	RUS	Артём Земцовский	230		4	3	7	2	1	4	2		1	1	-1	-1	4	-1	-3
61	RUS	Илья Шматько	220		8	1	1	0	-3	1	3	-2	0	0	1	6	0	3	3
62	POL	Анна Никонова	220		3	5	1	3	0	1	0	-1	-4	-3	-1	5	4	5	4
63	BLR	Ирина Бурак	220		2	5	1	-1	1	12		2		-3		2			1
64	BLR	Святослав Артюшкевич	220			8	1	-3		4		2		-3	-1	6	4	1	3
65	BLR	Алина Данилова	220		5	8	1	1	1	-5	-2	1	2	1	1	1	1	1	5
66	RUS	Игорь Кулешов	210		-2	1	5	1	1	4	1	0	1	1	-1	5	0	4	0
67	UKR	Никита Садок	210		5	5	-1	0	1	6	2	-1	-1	-1	0	3	0	-5	8
68	RUS	Дмитрий Хмыров	210		-1	1	1	-6	3	6	2		2	4	-1	4	3	1	2
69	BLR	Ярослав Полевой	210		4	1	2	2	1	6		-2	2	-2		1		3	3
70	RUS	Дмитрий Макушев	210		0	1	5	-2	4	-1	1	0	0	0	3	3	0	4	3
71	RUS	Михаил Кипнис	200		0	1	1	4	1	-2	0	0	5	0	1	4	3	4	-2
72	RUS	Павел Семенюк	200			5	-2	1	4	3	2		4	-3		5		3	-2
73	UKR	Анна Хромяк	200		-2	5	1	4	3	6	-3	-2	1		-1	1		5	2
